id,started_at,ended_at,ai_tool,participant_id,task_id
84,2025-08-11T21:13:59.719171+00:00,,GPT-4o,17,5
85,2025-08-11T21:14:36.324804+00:00,,GPT-4o,17,5
86,2025-08-11T21:20:00.424181+00:00,2025-08-11T21:20:10.439462+00:00,GPT-4o,18,1
87,2025-08-11T21:22:01.346584+00:00,,GPT-4o,18,1
88,2025-08-11T21:22:19.707893+00:00,,GPT-4o,18,1
89,2025-08-11T21:23:16.709049+00:00,,GPT-4o,18,1
90,2025-08-11T21:24:11.946491+00:00,,GPT-4o,18,1
92,2025-08-11T22:28:59.346735+00:00,,GPT-4o,21,3
91,2025-08-11T22:28:17.513174+00:00,2025-08-11T22:29:52.32967+00:00,GPT-4o,21,3
93,2025-08-11T22:32:31.765619+00:00,2025-08-11T22:32:44.405534+00:00,GPT-4o,21,4
95,2025-08-11T22:37:14.93628+00:00,,GPT-4o,21,5
94,2025-08-11T22:37:00.182042+00:00,2025-08-11T22:37:15.254719+00:00,GPT-4o,21,5
96,2025-08-11T22:38:05.667001+00:00,2025-08-11T22:38:07.347304+00:00,GPT-4o,21,6
97,2025-08-11T22:39:05.784177+00:00,2025-08-11T22:39:07.712404+00:00,GPT-4o,21,9
98,2025-08-11T22:40:02.319502+00:00,2025-08-11T22:40:06.46101+00:00,GPT-4o,21,10
99,2025-08-11T22:41:22.52873+00:00,2025-08-11T22:41:24.979249+00:00,GPT-4o,21,11
100,2025-08-11T22:43:54.345196+00:00,2025-08-11T22:43:58.650108+00:00,GPT-4o,21,12
101,2025-08-11T22:44:33.908317+00:00,,GPT-4o,21,13
102,2025-08-11T22:46:47.692497+00:00,2025-08-11T22:46:50.348073+00:00,GPT-4o,22,13
103,2025-08-12T02:55:22.685622+00:00,2025-08-12T02:55:32.305415+00:00,GPT-4o,23,1
104,2025-08-12T02:57:12.627158+00:00,,GPT-4o,23,1
105,2025-08-12T02:58:06.823152+00:00,,GPT-4o,23,1
106,2025-08-12T02:58:54.994591+00:00,,GPT-4o,23,1
107,2025-08-12T02:59:49.11223+00:00,,GPT-4o,23,1
109,2025-08-12T08:07:21.634228+00:00,,GPT-4o,24,1
110,2025-08-12T08:09:33.292372+00:00,,GPT-4o,24,1
108,2025-08-12T08:06:37.932432+00:00,2025-08-12T08:11:25.438759+00:00,GPT-4o,24,1
111,2025-08-12T08:18:38.474755+00:00,2025-08-12T08:21:47.211783+00:00,GPT-4o,24,2
112,2025-08-12T08:20:09.535234+00:00,2025-08-12T08:20:14.770976+00:00,GPT-4o,25,1
113,2025-08-12T08:22:24.922182+00:00,,GPT-4o,25,1
115,2025-08-12T08:23:57.116869+00:00,,GPT-4o,25,1
116,2025-08-12T08:24:01.533062+00:00,,GPT-4o,24,3
114,2025-08-12T08:22:39.093249+00:00,2025-08-12T08:24:08.131783+00:00,GPT-4o,24,3
117,2025-08-12T08:24:54.10434+00:00,,GPT-4o,25,1
118,2025-08-12T08:25:21.977463+00:00,2025-08-12T08:25:23.941702+00:00,GPT-4o,24,4
119,2025-08-12T08:25:47.139032+00:00,,GPT-4o,25,1
120,2025-08-12T08:26:18.233409+00:00,2025-08-12T08:28:48.034176+00:00,GPT-4o,24,5
121,2025-08-12T08:29:35.660573+00:00,2025-08-12T08:32:10.483502+00:00,GPT-4o,24,6
123,2025-08-12T08:34:36.642688+00:00,,GPT-4o,24,9
122,2025-08-12T08:34:07.385745+00:00,2025-08-12T08:36:01.373157+00:00,GPT-4o,24,9
125,2025-08-12T08:38:50.537305+00:00,,GPT-4o,24,10
124,2025-08-12T08:36:53.448288+00:00,2025-08-12T08:40:22.383519+00:00,GPT-4o,24,10
126,2025-08-12T08:42:36.220481+00:00,2025-08-12T08:44:12.655438+00:00,GPT-4o,24,11
128,2025-08-12T08:45:12.614209+00:00,,GPT-4o,24,12
129,2025-08-12T08:45:18.280711+00:00,,GPT-4o,24,12
127,2025-08-12T08:45:00.303328+00:00,2025-08-12T08:45:19.599557+00:00,GPT-4o,24,12
130,2025-08-12T08:46:32.339222+00:00,2025-08-12T08:46:57.586228+00:00,GPT-4o,24,13
132,2025-08-12T10:19:48.101354+00:00,,GPT-4o,27,1
133,2025-08-12T10:20:48.009573+00:00,,GPT-4o,27,1
134,2025-08-12T10:21:32.442745+00:00,,GPT-4o,27,1
131,2025-08-12T10:18:10.240461+00:00,2025-08-12T10:21:38.404808+00:00,GPT-4o,27,1
135,2025-08-12T10:21:49.665331+00:00,,GPT-4o,28,1
136,2025-08-12T10:21:57.86835+00:00,2025-08-12T10:21:59.57653+00:00,GPT-4o,29,1
137,2025-08-12T10:23:29.86147+00:00,,GPT-4o,28,1
139,2025-08-12T10:25:12.957186+00:00,,GPT-4o,27,2
138,2025-08-12T10:24:18.790511+00:00,2025-08-12T10:25:18.483618+00:00,GPT-4o,27,2
140,2025-08-12T10:25:32.537116+00:00,,GPT-4o,28,2
141,2025-08-12T10:27:31.282661+00:00,,GPT-4o,27,3
142,2025-08-12T10:30:46.680584+00:00,,GPT-4o,28,1
143,2025-08-12T10:33:03.80281+00:00,,GPT-4o,28,1
144,2025-08-12T10:33:47.333159+00:00,,GPT-4o,28,3
145,2025-08-12T10:35:30.594739+00:00,,GPT-4o,28,1
146,2025-08-12T10:35:52.320624+00:00,,GPT-4o,28,2
147,2025-08-12T10:38:50.255447+00:00,,GPT-4o,28,3
148,2025-08-12T10:45:55.778752+00:00,,GPT-4o,28,4
149,2025-08-12T10:50:38.684705+00:00,,GPT-4o,28,4
150,2025-08-12T10:55:05.109866+00:00,,GPT-4o,28,5
151,2025-08-12T10:59:31.361251+00:00,,GPT-4o,30,1
152,2025-08-12T10:59:51.70082+00:00,,GPT-4o,30,1
153,2025-08-12T11:00:29.388508+00:00,,GPT-4o,30,1
154,2025-08-12T11:08:11.372531+00:00,,GPT-4o,31,1
155,2025-08-12T11:08:34.924578+00:00,,GPT-4o,31,1
156,2025-08-12T11:08:57.095064+00:00,,GPT-4o,31,1
157,2025-08-12T11:09:26.046719+00:00,,GPT-4o,31,1
158,2025-08-12T11:09:49.516007+00:00,,GPT-4o,31,1
159,2025-08-12T11:10:48.854387+00:00,,GPT-4o,31,2
160,2025-08-12T11:15:04.317751+00:00,,GPT-4o,31,2
161,2025-08-12T11:15:33.739627+00:00,,GPT-4o,31,2
162,2025-08-12T11:16:32.754987+00:00,,GPT-4o,31,3
163,2025-08-12T11:16:53.281379+00:00,,GPT-4o,31,3
165,2025-08-12T11:20:57.523371+00:00,,GPT-4o,32,1
166,2025-08-12T11:22:06.606457+00:00,,GPT-4o,32,1
167,2025-08-12T11:24:11.466318+00:00,,GPT-4o,32,1
168,2025-08-12T11:25:53.111418+00:00,,GPT-4o,32,1
164,2025-08-12T11:17:11.252534+00:00,2025-08-12T11:26:15.139529+00:00,GPT-4o,32,1
170,2025-08-12T11:28:43.79638+00:00,,GPT-4o,32,2
171,2025-08-12T11:29:36.191683+00:00,,GPT-4o,32,2
172,2025-08-12T11:30:50.53724+00:00,,GPT-4o,32,2
173,2025-08-12T11:31:40.266657+00:00,,GPT-4o,32,2
169,2025-08-12T11:28:09.176555+00:00,2025-08-12T11:31:45.640218+00:00,GPT-4o,32,2
174,2025-08-12T11:35:44.518522+00:00,2025-08-12T11:35:59.047622+00:00,GPT-4o,33,1
176,2025-08-12T11:37:07.399277+00:00,,GPT-4o,33,2
179,2025-08-12T11:39:35.712238+00:00,,GPT-4o,32,3
180,2025-08-12T11:40:31.138188+00:00,,GPT-4o,32,3
177,2025-08-12T11:37:49.436443+00:00,2025-08-12T11:43:23.818566+00:00,GPT-4o,32,3
182,2025-08-12T11:42:07.120168+00:00,2025-08-12T11:43:26.588187+00:00,GPT-4o,32,4
185,2025-08-12T11:44:48.44222+00:00,,GPT-4o,32,5
188,2025-08-12T11:46:04.425073+00:00,,GPT-4o,32,5
183,2025-08-12T11:43:26.653076+00:00,2025-08-12T11:47:10.404203+00:00,GPT-4o,32,5
187,2025-08-12T11:45:52.637893+00:00,2025-08-12T11:49:19.597798+00:00,GPT-4o,33,9
191,2025-08-12T11:47:56.576939+00:00,2025-08-12T11:49:28.7683+00:00,GPT-4o,33,12
192,2025-08-12T11:48:47.093443+00:00,2025-08-12T11:49:33.321978+00:00,GPT-4o,33,13
190,2025-08-12T11:47:26.109816+00:00,2025-08-12T11:49:37.548521+00:00,GPT-4o,33,11
189,2025-08-12T11:46:41.308264+00:00,2025-08-12T11:49:40.288514+00:00,GPT-4o,33,10
186,2025-08-12T11:45:22.743774+00:00,2025-08-12T11:49:44.243614+00:00,GPT-4o,33,6
184,2025-08-12T11:43:39.714389+00:00,2025-08-12T11:49:48.119079+00:00,GPT-4o,33,5
178,2025-08-12T11:38:55.698803+00:00,2025-08-12T11:49:50.433614+00:00,GPT-4o,33,3
181,2025-08-12T11:42:06.973041+00:00,2025-08-12T11:49:52.920647+00:00,GPT-4o,33,4
175,2025-08-12T11:36:12.251752+00:00,2025-08-12T11:49:55.886881+00:00,GPT-4o,33,2
194,2025-08-12T11:52:40.098278+00:00,,GPT-4o,32,6
193,2025-08-12T11:50:48.686331+00:00,2025-08-12T11:52:58.016698+00:00,GPT-4o,32,6
196,2025-08-12T11:55:45.287638+00:00,,GPT-4o,32,9
197,2025-08-12T11:56:51.267391+00:00,,GPT-4o,32,9
195,2025-08-12T11:53:46.930589+00:00,2025-08-12T11:57:05.346962+00:00,GPT-4o,32,9
199,2025-08-12T11:58:24.211356+00:00,,GPT-4o,32,10
200,2025-08-12T11:59:14.927333+00:00,,GPT-4o,32,10
201,2025-08-12T11:59:59.456517+00:00,,GPT-4o,32,10
202,2025-08-12T12:00:39.970517+00:00,,GPT-4o,32,10
203,2025-08-12T12:01:40.197917+00:00,,GPT-4o,32,10
204,2025-08-12T12:01:52.335871+00:00,,GPT-4o,32,10
198,2025-08-12T11:57:29.409224+00:00,2025-08-12T12:02:06.678942+00:00,GPT-4o,32,10
206,2025-08-12T12:04:58.153042+00:00,,GPT-4o,32,11
207,2025-08-12T12:06:02.736159+00:00,,GPT-4o,32,11
205,2025-08-12T12:03:03.993813+00:00,2025-08-12T12:06:05.194032+00:00,GPT-4o,32,11
209,2025-08-12T12:08:24.792212+00:00,,GPT-4o,32,12
210,2025-08-12T12:08:55.457563+00:00,,GPT-4o,32,12
211,2025-08-12T12:09:46.747936+00:00,,GPT-4o,32,12
212,2025-08-12T12:10:06.354467+00:00,,GPT-4o,32,12
208,2025-08-12T12:07:43.485653+00:00,2025-08-12T12:10:15.273024+00:00,GPT-4o,32,12
214,2025-08-12T12:11:46.022138+00:00,,GPT-4o,32,13
215,2025-08-12T12:12:52.900487+00:00,,GPT-4o,32,13
213,2025-08-12T12:10:54.491668+00:00,2025-08-12T12:13:21.615867+00:00,GPT-4o,32,13
216,2025-08-12T21:13:02.282513+00:00,2025-08-12T21:13:19.824296+00:00,GPT-4o,38,1
217,2025-08-12T21:16:45.650858+00:00,2025-08-12T21:18:19.698861+00:00,GPT-4o,38,2
218,2025-08-13T18:16:26.963207+00:00,2025-08-13T18:16:30.912938+00:00,GPT-4o,41,1
219,2025-08-13T18:29:55.275719+00:00,,GPT-4o,41,1
220,2025-08-13T18:50:14.931347+00:00,2025-08-13T18:50:19.50105+00:00,GPT-4o,42,1
222,2025-08-13T21:48:29.955902+00:00,,GPT-4o,43,1
223,2025-08-13T21:49:51.669828+00:00,,GPT-4o,43,1
224,2025-08-13T21:50:41.550387+00:00,,GPT-4o,43,1
225,2025-08-13T21:52:42.255087+00:00,,GPT-4o,43,1
221,2025-08-13T21:47:08.302995+00:00,2025-08-13T21:52:47.935238+00:00,GPT-4o,43,1
227,2025-08-13T21:56:38.745168+00:00,,GPT-4o,43,2
228,2025-08-13T21:58:39.961309+00:00,,GPT-4o,43,2
229,2025-08-13T21:59:52.78767+00:00,,GPT-4o,43,2
226,2025-08-13T21:55:55.689428+00:00,2025-08-13T21:59:59.71544+00:00,GPT-4o,43,2
231,2025-08-13T22:20:08.842478+00:00,,GPT-4o,43,3
232,2025-08-13T22:20:49.024492+00:00,,GPT-4o,43,3
233,2025-08-13T22:21:18.334414+00:00,,GPT-4o,43,3
230,2025-08-13T22:18:21.436831+00:00,2025-08-13T22:21:21.31259+00:00,GPT-4o,43,3
235,2025-08-13T22:27:30.815402+00:00,,GPT-4o,43,4
236,2025-08-13T22:28:49.72939+00:00,,GPT-4o,43,4
237,2025-08-13T22:30:14.877292+00:00,,GPT-4o,43,4
238,2025-08-13T22:34:04.806491+00:00,,GPT-4o,43,4
234,2025-08-13T22:24:47.884328+00:00,2025-08-13T22:34:41.941719+00:00,GPT-4o,43,4
240,2025-08-13T22:43:46.879284+00:00,,GPT-4o,43,5
241,2025-08-13T22:43:57.706665+00:00,,GPT-4o,43,5
242,2025-08-13T22:44:38.591996+00:00,,GPT-4o,43,5
243,2025-08-13T22:48:30.047835+00:00,,GPT-4o,43,5
239,2025-08-13T22:42:52.254663+00:00,2025-08-13T22:54:10.1026+00:00,GPT-4o,43,5
244,2025-08-13T22:56:53.411749+00:00,,GPT-4o,43,6
245,2025-08-13T22:58:36.745925+00:00,,GPT-4o,43,6
246,2025-08-13T22:59:22.603017+00:00,,GPT-4o,43,6
247,2025-08-13T23:02:41.12551+00:00,,GPT-4o,43,6
248,2025-08-13T23:04:22.981167+00:00,,GPT-4o,43,6
249,2025-08-13T23:07:37.827421+00:00,,GPT-4o,43,11
250,2025-08-13T23:09:57.922954+00:00,,GPT-4o,43,11
251,2025-08-13T23:17:50.957318+00:00,,GPT-4o,43,11
252,2025-08-13T23:18:02.547774+00:00,,GPT-4o,43,11
253,2025-08-13T23:22:36.300151+00:00,,GPT-4o,43,12
254,2025-08-13T23:23:53.957275+00:00,,GPT-4o,43,12
255,2025-08-13T23:24:33.00743+00:00,,GPT-4o,43,12
257,2025-08-13T23:31:44.825393+00:00,,GPT-4o,43,13
258,2025-08-13T23:32:13.789293+00:00,,GPT-4o,43,13
259,2025-08-13T23:33:16.3372+00:00,,GPT-4o,43,13
256,2025-08-13T23:31:15.588999+00:00,2025-08-13T23:33:38.177057+00:00,GPT-4o,43,13
268,2025-08-14T08:11:54.441322+00:00,2025-08-14T08:11:56.730222+00:00,GPT-4o,46,13
267,2025-08-14T08:11:10.446578+00:00,2025-08-14T08:12:02.449625+00:00,GPT-4o,46,12
266,2025-08-14T08:10:05.473509+00:00,2025-08-14T08:12:04.659267+00:00,GPT-4o,46,11
265,2025-08-14T08:08:11.569751+00:00,2025-08-14T08:12:06.473605+00:00,GPT-4o,46,10
264,2025-08-14T08:07:27.920984+00:00,2025-08-14T08:12:08.358931+00:00,GPT-4o,46,9
263,2025-08-14T08:06:45.073269+00:00,2025-08-14T08:12:10.835938+00:00,GPT-4o,46,6
262,2025-08-14T08:04:27.744134+00:00,2025-08-14T08:12:13.312253+00:00,GPT-4o,46,5
260,2025-08-14T07:59:31.487476+00:00,2025-08-14T08:12:16.22796+00:00,GPT-4o,46,4
261,2025-08-14T08:02:59.130559+00:00,2025-08-14T08:12:18.833195+00:00,GPT-4o,46,3
269,2025-08-14T08:13:23.741859+00:00,2025-08-14T08:13:25.736826+00:00,GPT-4o,46,1
270,2025-08-14T08:14:12.376195+00:00,2025-08-14T08:14:13.903356+00:00,GPT-4o,46,2
271,2025-08-14T08:21:03.088442+00:00,2025-08-14T08:21:10.671216+00:00,GPT-4o,47,1
272,2025-08-14T08:22:24.679388+00:00,,GPT-4o,47,1
273,2025-08-14T08:23:04.556218+00:00,,GPT-4o,47,1
274,2025-08-14T08:23:44.327327+00:00,,GPT-4o,47,1
275,2025-08-14T08:24:56.22388+00:00,,GPT-4o,47,1
277,2025-08-14T08:27:33.431256+00:00,,GPT-4o,47,2
276,2025-08-14T08:26:48.437441+00:00,2025-08-14T08:27:48.137938+00:00,GPT-4o,47,2
279,2025-08-14T08:30:24.977598+00:00,,GPT-4o,47,3
278,2025-08-14T08:29:08.010152+00:00,2025-08-14T08:31:02.145219+00:00,GPT-4o,47,3
281,2025-08-14T08:31:52.178571+00:00,,GPT-4o,47,4
282,2025-08-14T08:32:12.838985+00:00,,GPT-4o,47,4
280,2025-08-14T08:31:34.453999+00:00,2025-08-14T08:32:16.323839+00:00,GPT-4o,47,4
283,2025-08-14T08:33:09.589869+00:00,2025-08-14T08:33:36.871537+00:00,GPT-4o,47,5
285,2025-08-14T08:35:37.770357+00:00,,GPT-4o,47,6
286,2025-08-14T08:37:31.667822+00:00,,GPT-4o,47,6
284,2025-08-14T08:34:12.307347+00:00,2025-08-14T08:37:37.517615+00:00,GPT-4o,47,6
287,2025-08-14T08:38:23.345956+00:00,2025-08-14T08:39:07.353575+00:00,GPT-4o,47,9
289,2025-08-14T08:40:32.587021+00:00,,GPT-4o,47,10
290,2025-08-14T08:41:22.122085+00:00,,GPT-4o,47,10
291,2025-08-14T08:42:08.681652+00:00,,GPT-4o,47,10
292,2025-08-14T08:42:58.74076+00:00,,GPT-4o,47,10
288,2025-08-14T08:39:39.178678+00:00,2025-08-14T08:43:51.195705+00:00,GPT-4o,47,10
294,2025-08-14T08:45:51.915614+00:00,,GPT-4o,47,11
293,2025-08-14T08:44:40.431835+00:00,2025-08-14T08:47:11.429908+00:00,GPT-4o,47,11
295,2025-08-14T08:47:46.440172+00:00,2025-08-14T08:50:15.305789+00:00,GPT-4o,47,12
297,2025-08-14T08:52:08.22037+00:00,,GPT-4o,47,13
296,2025-08-14T08:51:34.49247+00:00,2025-08-14T08:54:26.463012+00:00,GPT-4o,47,13
298,2025-08-14T14:17:33.160063+00:00,2025-08-14T14:21:02.768089+00:00,GPT-4o,49,1
299,2025-08-14T14:21:59.371574+00:00,,GPT-4o,49,1
300,2025-08-14T14:27:25.834148+00:00,,GPT-4o,49,1
301,2025-08-14T14:32:37.643979+00:00,,GPT-4o,49,1
302,2025-08-14T14:33:16.579322+00:00,,GPT-4o,49,1
304,2025-08-14T18:31:08.914195+00:00,,GPT-4o,50,1
305,2025-08-14T18:33:40.19666+00:00,,GPT-4o,50,1
306,2025-08-14T18:34:37.789792+00:00,,GPT-4o,50,1
307,2025-08-14T18:35:46.122743+00:00,,GPT-4o,50,1
303,2025-08-14T18:29:18.687707+00:00,2025-08-14T18:36:14.208801+00:00,GPT-4o,50,1
308,2025-08-14T18:38:08.647553+00:00,2025-08-14T18:38:19.608378+00:00,GPT-4o,50,2
310,2025-08-14T18:43:24.751764+00:00,,GPT-4o,50,3
309,2025-08-14T18:42:43.211055+00:00,2025-08-14T18:43:28.777445+00:00,GPT-4o,50,3
311,2025-08-14T18:46:18.447662+00:00,2025-08-14T18:46:35.560122+00:00,GPT-4o,50,4
312,2025-08-14T18:49:20.947264+00:00,2025-08-14T18:49:30.292671+00:00,GPT-4o,50,5
313,2025-08-14T18:52:40.649274+00:00,2025-08-14T18:52:50.268288+00:00,GPT-4o,50,6
315,2025-08-14T18:54:17.474592+00:00,,GPT-4o,50,9
316,2025-08-14T18:55:35.9321+00:00,,GPT-4o,50,9
314,2025-08-14T18:53:42.525396+00:00,2025-08-14T18:55:46.233995+00:00,GPT-4o,50,9
318,2025-08-14T18:58:21.693603+00:00,,GPT-4o,50,10
319,2025-08-14T18:59:22.589393+00:00,,GPT-4o,50,10
320,2025-08-14T19:00:46.363614+00:00,,GPT-4o,50,10
321,2025-08-14T19:03:31.14905+00:00,,GPT-4o,50,10
322,2025-08-14T19:04:09.669762+00:00,,GPT-4o,50,10
317,2025-08-14T18:56:47.548034+00:00,2025-08-14T19:04:41.675978+00:00,GPT-4o,50,10
324,2025-08-14T19:12:51.056346+00:00,,GPT-4o,50,11
323,2025-08-14T19:11:35.922408+00:00,2025-08-14T19:13:03.340082+00:00,GPT-4o,50,11
326,2025-08-14T19:17:06.235028+00:00,,GPT-4o,50,12
325,2025-08-14T19:16:46.42213+00:00,2025-08-14T19:23:56.531352+00:00,GPT-4o,50,12
328,2025-08-14T19:29:09.332284+00:00,,GPT-4o,50,13
329,2025-08-14T19:29:39.397175+00:00,,GPT-4o,50,13
330,2025-08-14T19:30:02.467456+00:00,,GPT-4o,50,13
331,2025-08-14T19:30:16.772691+00:00,,GPT-4o,50,13
327,2025-08-14T19:26:49.542946+00:00,2025-08-14T19:30:18.806825+00:00,GPT-4o,50,13
332,2025-08-15T08:58:47.153147+00:00,2025-08-15T08:58:52.587528+00:00,GPT-4o,51,1
334,2025-08-15T09:00:43.642384+00:00,,GPT-4o,51,1
335,2025-08-15T09:01:32.802008+00:00,,GPT-4o,51,1
336,2025-08-15T09:02:15.211333+00:00,,GPT-4o,51,1
337,2025-08-15T09:03:03.29356+00:00,,GPT-4o,51,1
339,2025-08-15T09:04:21.229335+00:00,,GPT-4o,51,2
338,2025-08-15T09:03:41.066204+00:00,2025-08-15T09:04:25.558489+00:00,GPT-4o,51,2
340,2025-08-15T09:04:56.73308+00:00,,GPT-4o,51,3
